title,artist,duration,date,popularity,danceability,tempo
Nothing Changed,Quavo,199111,9/30/22,0,0.907,134.902
Stop Breathing,Roddy Ricch,110706,9/30/22,0,0.586,158.457
I'm So Awesome,Kodak Black,187202,9/30/22,0,0.908,108.053
CODE (feat. Moneybagg Yo),Offset,192427,8/26/22,77,0.599,179.49
Blow,Moneybagg Yo,182533,9/22/22,69,0.815,137.036
Detox,Lil Baby,161636,9/2/22,80,0.845,147.031
9 Lives (feat. Polo G & NLE Choppa),DDG,228000,9/30/22,0,0.577,160.088
Ghetto Superstar (feat. G Herbo & Doe Boy),Roddy Ricch,244853,9/8/22,73,0.704,157.093
Shoot It Myself (feat. Future),EST Gee,187843,9/16/22,59,0.798,135.102
2 Mins of Pain (feat. Alborosie),Sleepy Hallow,136695,9/7/22,75,0.886,147.995
Dah Dah DahDah,Nardo Wick,151776,7/22/22,83,0.66,167.912
Pain & Strife (feat. Offset),Freddie Gibbs,157639,9/30/22,0,0.822,146.984
Walk,Kodak Black,166039,9/16/22,73,0.817,130.04
Can't Believe It (feat. 2 Chainz),Kid Cudi,172106,9/30/22,0,0.766,169.949
Flawl��ss (feat. Lil Uzi Vert),Yeat,176124,9/9/22,79,0.474,131.001
From Nothing,Key Glock,169306,8/17/22,74,0.821,125.005
Never Sleep (with Lil Baby feat. Travis Scott),NAV,185785,7/29/22,81,0.819,139.957
Treesha,Lil Tecca,105693,8/26/22,77,0.545,163.847
Sober (feat. Roddy Ricch & Post Malone),YG,253913,9/30/22,0,0.671,83.877
"Save Me, Please",Trippie Redd,127934,9/30/22,0,0.641,143.121
Beat the Odds,Lil Tjay,150000,8/26/22,83,0.498,84.821
Jimmy Cooks (feat. 21 Savage),Drake,218364,6/17/22,91,0.529,165.921
Too Much (feat. Moneybagg Yo),Freddie Gibbs,188869,9/2/22,70,0.799,115.067
Look Ma I Did It,Gucci Mane,207786,9/2/22,71,0.82,128.027
STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,178176,8/5/22,85,0.718,129.953
Can't Stop Won't Stop (feat. Kodak Black),King Combs,158350,7/22/22,69,0.906,96.961
Tomorrow 2 (with Cardi B),GloRilla,209811,9/23/22,70,0.791,159.922
"Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix",Nicki Minaj,234899,9/9/22,74,0.88,132.982
Vette Motors,YoungBoy Never Broke Again,173419,8/5/22,73,0.83,155.103
Robbery Part 4,Tee Grizzley,180344,9/13/22,66,0.902,97.959
54321,Offset,182325,8/19/22,72,0.934,129.028
Hall of Fame,Young Dolph,238333,7/27/22,72,0.86,137.01
Step 1 (with Offset),SleazyWorld Go,177731,6/17/22,73,0.672,111.55
Us vs. Them (feat. Gucci Mane),Quavo,216013,7/29/22,74,0.726,149.979
Hot Shit (feat. Ye & Lil Durk),Cardi B,211649,7/1/22,79,0.878,157.003
F.N.F. (Let's Go),Hitkidd,137579,5/3/22,73,0.864,157.144
SOCKS,DaBaby,171123,9/23/22,68,0.892,140.969
IDGAF,42 Dugg,138673,8/17/22,70,0.514,108.666
FOR FUN,Lil Uzi Vert,188059,7/23/22,76,0.775,134.028
Falsetto (feat. Lil Tecca),Internet Money,135572,8/19/22,70,0.763,131.05
Yungen (feat. Jack Harlow),Rod Wave,226115,8/12/22,75,0.614,146.02
Talk,Yeat,174857,9/9/22,74,0.698,139.939
Munch (Feelin�۪ U),Ice Spice,104819,8/10/22,77,0.811,166.084
Maniac,YG,166787,9/23/22,63,0.761,94.942
Red Flag,Gucci Mane,207306,9/19/22,64,0.778,140.048
Doja,Central Cee,97392,7/21/22,93,0.911,140.04
Ungrateful (feat. Key Glock),Megan Thee Stallion,154433,8/12/22,72,0.94,130
BILLIE EILISH.,Armani White,99282,5/19/22,88,0.9,100.007
Put It On Me,YoungBoy Never Broke Again,152195,9/7/22,73,0.665,164.205
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,212000,7/23/21,86,0.736,149.995
goosebumps,Travis Scott,243836,9/16/16,84,0.841,130.049
Knife Talk (with 21 Savage ft. Project Pat),Drake,242965,9/3/21,85,0.849,145.887
Still D.R.E.,Dr. Dre,270586,11/16/99,84,0.816,93.431
4 The Win,D-Block Europe,207083,9/23/22,64,0.76,143.982
N95,Kendrick Lamar,195950,5/13/22,84,0.79,139.956
Wants and Needs (feat. Lil Baby),Drake,192956,3/5/21,84,0.578,136.006
Dior,Pop Smoke,216386,7/26/19,83,0.548,142.094
Hate It Or Love It,The Game,206400,2005,83,0.802,99.998
HIGHEST IN THE ROOM,Travis Scott,175720,10/4/19,82,0.598,76.469
The Box,Roddy Ricch,196652,12/6/19,81,0.896,116.971
Big Stunna (feat. Birdman),Quavo,217613,8/26/22,66,0.79,150.054
Cash In Cash Out,Pharrell Williams,216135,6/10/22,81,0.877,119.971
Praise God,Kanye West,226652,8/29/21,81,0.798,118.029
ROCKSTAR (feat. Roddy Ricch),DaBaby,181733,4/17/20,80,0.746,89.977
Fair Trade (with Travis Scott),Drake,291175,9/3/21,83,0.666,167.937
HOTEL LOBBY (Unc & Phew),Quavo,142657,5/20/22,80,0.821,127.961
pushin P (feat. Young Thug),Gunna,136266,1/13/22,79,0.773,77.502
Dua Lipa,Jack Harlow,135053,5/6/22,79,0.833,158.022
family ties (with Kendrick Lamar),Baby Keem,252069,8/27/21,79,0.711,134.14
m y . l i f e (with 21 Savage & Morray),J. Cole,218801,5/14/21,79,0.597,140.021
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,232048,4/2/21,78,0.88,120.031
Way 2 Sexy (with Future & Young Thug),Drake,257604,9/3/21,81,0.803,136.008
Just A Lil Bit,50 Cent,237706,3/3/05,78,0.489,96.946
Sleazy Flow (with Lil Baby) - Remix,SleazyWorld Go,161355,5/26/22,78,0.869,77.47
Churchill Downs (feat. Drake),Jack Harlow,309327,5/6/22,78,0.71,96.448
Distraction,Polo G,171319,6/3/22,78,0.713,156.934
Motley Crew,Post Malone,184213,7/9/21,78,0.797,129.915
Life Is Good (feat. Drake),Future,237735,1/10/20,78,0.676,142.037
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,236524,4/30/21,78,0.477,150.062
Super Gremlin,Kodak Black,200547,10/30/21,77,0.825,72.993
Right On,Lil Baby,213975,4/8/22,77,0.535,165.991
WHATS POPPIN,Jack Harlow,139741,3/13/20,78,0.923,145.062
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,201600,7/3/20,76,0.49,99.7
"Shook Ones, Pt. II",Mobb Deep,325506,4/25/95,76,0.763,93.857
Ramen & OJ,Joyner Lucas,218447,4/30/21,76,0.597,106.196
How We Do,The Game,235533,2005,76,0.862,98.012
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,227478,6/24/20,76,0.904,145.013
Count Me Out,Kendrick Lamar,283642,5/13/22,76,0.776,133.999
I'M ON ONE (feat. Drake),Future,236186,4/29/22,76,0.773,76.977
Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,144349,4/2/21,76,0.808,118
Off The Grid,Kanye West,339249,8/29/21,75,0.546,137.728
Solid (feat. Drake),Young Stoner Life,215693,4/16/21,75,0.887,125.987
Nail Tech,Jack Harlow,206385,2/18/22,75,0.677,150.127
Ball If I Want To,DaBaby,112546,6/18/21,75,0.902,139.949
Real Talk,Roddy Ricch,183186,6/24/22,74,0.789,138.033
X Gon' Give It To Ya,DMX,217586,6/12/07,74,0.761,95.027
Can't Be Touched (feat. Mr. Magic & Trouble),Roy Jones Jr.,214400,10/26/04,74,0.642,96.986
WAITRESS,DaBaby,132018,8/12/22,74,0.83,145.901
GREECE (feat. Drake),DJ Khaled,218901,7/16/20,73,0.695,85.84
U-Digg (feat. 42 Dugg & Veeze),Lil Baby,235500,6/17/22,73,0.824,147.496
It Runs Through Me,Tom Misch,261881,4/6/18,68,0.802,96.916
Let It Go,Erick the Architect,223641,12/7/20,64,0.674,139.722
Feather (feat. Cise Starr & Akin from CYNE),Nujabes,175360,11/11/05,63,0.565,180.598
Invocation,Common,134040,9/30/97,62,0.753,83.92
Grown Man Sport,Pete Rock,276373,1998,61,0.801,88.025
The Hop,A Tribe Called Quest,207466,7/30/96,61,0.927,95.525
Yesterday,Loyle Carner,168654,11/11/20,60,0.428,92.035
What They Do,The Roots,357200,9/24/96,59,0.885,92.727
Ziplock,Saba,198960,3/18/21,59,0.878,115.051
Donny In Valdez - PJ's Flip,Pale Jay,113747,5/20/22,58,0.445,81.566
Luv(sic.) pt3 (feat. Shing02),Nujabes,336866,11/11/05,60,0.866,94.997
Where I'm From,Digable Planets,275342,1/1/93,58,0.876,98.304
The Truth,Handsome Boy Modeling School,337200,10/19/99,57,0.703,79.653
Bittersweet Baby,blackwave.,199373,11/8/19,55,0.69,88.018
Terrapin,Ben Beal,173181,2/7/20,55,0.647,87.963
Egyptian Luvr,Rejjie Snow,256613,5/3/18,55,0.834,104.944
Standing There,The Silhouettes Project,226933,12/11/20,55,0.659,96.472
Pain,De La Soul,279754,8/26/16,55,0.908,104.504
Fabrics,Felly,214973,10/20/14,55,0.807,75.589
Doin' Our Own Dang,Jungle Brothers,258933,11/8/89,53,0.835,113.082
Blessing It -remix (feat. Substantial & Pase Rock from Five Deez),Nujabes,203706,8/21/03,53,0.725,101.807
Cookie Chips,Rejjie Snow,259906,7/9/21,54,0.457,91.863
"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",Digable Planets,271373,1/1/93,53,0.736,180.496
Heart Shaped Kisses,Vluestar,168000,5/28/21,53,0.824,90.016
Elusive,blackwave.,222200,10/9/17,52,0.567,167.737
2000 Seasons,Talib Kweli,253068,7/21/15,52,0.767,93.108
Resurrection,Common,227826,10/25/94,52,0.769,91.486
City Lights (feat. Pase Rock & Substantial),Nujabes,194293,12/3/11,53,0.831,99.994
A Little Of This,Grand Puba,220400,6/20/95,52,0.703,168.925
"After The Storm (feat. Tyler, The Creator & Bootsy Collins) - Pete Rock Remix",Kali Uchis,225026,6/8/18,52,0.695,159.03
Chicken Wings - Remix,Samm Henshaw,165565,1/21/22,52,0.646,179.869
Mellow My Man,The Roots,281866,1/17/95,52,0.78,91.482
Blue Skies,Summers Sons,157603,11/23/19,52,0.578,83.133
What Do You Say (Move It Baby),Common,242346,10/30/20,51,0.793,98.957
The Circle,Ivan Ave,209613,2/12/16,51,0.695,174.024
It's Alright,2nd Exit,176884,9/13/16,51,0.776,92.021
Drive Slow,Nix Northwest,221333,9/30/20,50,0.486,89.024
"Ease My Mind - Feat. Tre Hardson, Fat Lip & Omni",Jazz Liberatorz,328573,1/21/08,50,0.69,96.002
The Feeling,Summers Sons,179463,1/15/18,51,0.629,86.827
Jettin',Digable Planets,279373,10/10/94,50,0.843,91.937
Feeling High,The Mouse Outfit,224374,5/4/18,50,0.732,83.021
Street Jazz,Awon,154837,5/8/17,50,0.672,93.114
Make You Feel That Way,Blackalicious,206400,4/30/02,50,0.845,117.929
Feel The Music,Guru,237733,7/18/95,49,0.774,100.357
Children Of The Internet - Ezra Collective Remix,Future Utopia,353346,12/3/20,49,0.514,173.628
Free Your Mind,The Silhouettes Project,251068,12/11/20,49,0.753,88.672
The LP,Large Professor,197066,7/1/09,49,0.831,91.991
POETRY JAM (feat. Foggieraw),Ciscero,198525,5/20/20,48,0.726,92.013
Figure Numatic,Nubiyan Twist,370610,10/31/14,48,0.76,97.021
Dog It,Digable Planets,260693,10/10/94,49,0.901,92.118
The Rain,Awon,163636,3/20/18,48,0.689,87.979
MOVIN',Bluestaeb,153028,7/7/21,48,0.713,163.989
Irreversible,EllMatic,171061,4/10/20,47,0.729,87.34
Gucci Tried to Tell Me,Mick Jenkins,189082,10/29/21,47,0.589,83.124
Call It Love,Summers Sons,250360,9/7/18,47,0.636,83.928
Make It Happen,Glad2Mecha,147617,2/8/19,47,0.779,90.899
Oh Word,Ivan Ave,194019,6/18/19,46,0.479,98.376
Breakadawn,De La Soul,254928,2014,46,0.839,95.895
Head Highs,Malaki,155346,7/29/21,46,0.806,82.1
Chapter 7 (feat. Ty),Ezra Collective,287320,4/20/16,45,0.787,105.041
Organic Rust,Alfa Mist,276252,4/23/21,45,0.696,89.938
Got Me Thinkin' (feat. Sparkz),The Mouse Outfit,223772,5/20/13,45,0.813,90.807
IMMORTAL,Ricki Monique,185298,1/25/22,45,0.718,88.981
Carefree,Mick Jenkins,190116,1/3/20,45,0.873,137.543
Memories Live,Reflection Eternal,238573,10/17/00,45,0.607,88.981
In My Room,Khary,211384,7/14/21,45,0.899,129.964
You Don't Know,Loyle Carner,250450,1/16/19,45,0.716,92.147
Talk About Us,Kofi Stone,195821,6/12/19,44,0.9,92.007
Can't Let You Go (feat. Nick Grant),Terrace Martin,193616,4/2/21,44,0.863,111.958
Nobody's Perfect,Anti Lilly,201011,8/21/17,44,0.671,83.296
Fr�_o Blues,Marki,165000,8/5/22,44,0.706,92.022
Violets (feat. Phonte),Miles Davis,203680,5/27/16,44,0.785,91.835
Call You?,ArmstrongWW,205865,4/20/22,43,0.658,168.06
Late Night Link,KeepVibesNear,194545,3/16/22,44,0.885,132.005
Shine Thru,FloFilz,187175,12/4/15,44,0.799,88.501
Sunlit Days,Syrup,218240,9/18/20,44,0.747,86.928
Scottie Pippen,Mick Jenkins,233154,10/22/21,44,0.367,144.362
Blue In Green,Anti Lilly & Phoniks,200829,3/8/14,44,0.792,91.992
Wassup,RAIZA BIZA,243711,9/11/16,44,0.737,97.011
Flashback,Submerse,153750,9/27/19,44,0.773,95.965
Down,Hemlock Ernst,258461,10/25/19,44,0.834,103.969
The Stars My Destination,PENPALS,180290,5/22/20,43,0.503,79.497
Laid Back,Koralle,199640,1/29/21,43,0.73,86.825
Politickin,Syrup,205013,9/18/20,43,0.789,90.058
New Day,Abstract Orchestra,145051,2/23/18,43,0.748,91.941
Chino,Awon,143903,7/27/22,43,0.639,92.843
Low,Kyle McEvoy,126839,4/2/21,43,0.683,77.622
Why Don't You Come on Over,love-sadKID,152000,8/27/21,43,0.772,95.016
Get Lost (feat. Regis Molina),JuJu Rogers,297990,12/2/16,43,0.665,93.05
Tulips,Damu The Fudgemunk,334374,5/15/20,42,0.437,106.041
Watching You,Godfather Don,207992,3/27/20,42,0.876,106.096
What Am I to Do?,Ezra Collective,244733,4/3/19,42,0.81,96.696
What U Need,The Silhouettes Project,216866,12/11/20,42,0.596,108.925
Keep It Stepping,Koralle,180026,1/29/21,42,0.579,78.322
Go So Far,Busty and the Bass,242747,7/22/20,42,0.699,84.989
Breakfast At Denny's,Buckshot LeFonque,354640,2000,42,0.76,87.433
That Jazz,Coops,188764,2/2/18,41,0.65,88.848
First Law of Nature Rock Day (feat. Denmark Vessey),Dabrye,212546,2/16/18,41,0.754,94.007
Flowers On The Weekend,Asher Roth,152227,4/23/20,42,0.541,80.469
"Black Superhero [Feat. Killer Mike, BJ The Chicago Kid & Big K.R.I.T.]",Robert Glasper,355720,1/13/22,41,0.489,180.369
Avec Moi,Froid,202453,8/17/22,57,0.789,88.087
Poesia Ac̼stica 13,Pineapple StormTv,628124,9/20/22,78,0.572,127.982
Penelope,BIN,171513,1/28/22,63,0.718,120.009
Vida Toda - Spotify Singles,L7NNON,153245,10/13/21,68,0.755,129.833
Expectativas,3030,201459,7/1/22,54,0.75,136.937
Pensando Em N�_s - Ac̼stico,Nanno,193408,9/30/22,0,0.564,121.707
Bem Pra Mim,Altamira,207368,9/9/22,43,0.737,113.995
Poesia Ac̼stica 12 - Pra Sempre,Pineapple StormTv,472173,2/24/22,75,0.636,91.976
Amor Bandido,3030,244999,9/23/22,47,0.585,191.855
Golpe Baixo,Fabio Brazza,204000,9/28/22,0,0.488,83.103
A Culpa �� Minha,Matheusinho,197114,7/26/22,51,0.509,115.726
J�� Vou,Cortesia Da Casa,177015,7/15/22,54,0.563,94.43
Hoje Vou A�_ Te Ver,Stanley Castro,170086,9/30/22,0,0.742,115.085
Esbo̤o,Ikki,126853,9/23/22,34,0.794,123.064
Poesia Ac̼stica #9: Melhor Forma,Pineapple StormTv,611076,7/10/20,71,0.733,130.026
Problem��tico,Ikki,171106,4/22/22,48,0.653,129.447
Melhor Lugar,LUE,168031,6/17/22,46,0.628,80.891
Buzz Lightyear,Pineapple StormTv,253757,2/21/18,62,0.524,82.883
Session 2000 #1 - Nosso Caso,Malcolm VL,170668,6/3/22,45,0.725,89.929
Ac̼stico Altamira #1 - Ubatuba,Pel̩ MilFlows,336000,5/6/22,46,0.48,200.334
Se Faz de Louca,TG Marollie,148500,5/27/22,43,0.55,159.829
Peda̤o de Mim,OIK,202318,11/6/20,63,0.623,94.55
Vagabundo Tamb̩m Ama / Vida Longa Mundo Pequeno - Ac̼stico,Oriente,529597,7/25/14,55,0.552,79.947
Vegana,Alaska,196721,4/20/22,46,0.722,121.105
Poesia Ac̼stica 11: Nada Mudou,Pineapple StormTv,600000,6/23/21,71,0.725,119.985
At̩ o Final,Caio Luccas,144682,8/29/21,56,0.594,79.927
Afrodite,EXQUE��A TUDO PAPAI,187666,7/8/22,42,0.409,143.531
Pensei em Voc̻,Sadness :c,120178,2/25/22,47,0.741,143.93
Acorda,26:15:00,176924,4/28/22,41,0.562,84.456
Doc̻,Ikki,134769,3/25/22,44,0.726,129.87
Poesia Ac̼stica #6: Era uma Vez,Pineapple StormTv,577819,12/24/18,74,0.518,93.885
Perdi̤̣o,L7NNON,275000,8/23/19,67,0.842,119.989
Ap̻ 1001,BIN,171428,6/10/21,63,0.575,139.938
Pura Iluṣo,BIN,167348,11/11/21,59,0.484,127.119
Probleminha Di��rio (Papasessions #7),L7NNON,245625,11/6/20,59,0.621,81.916
Acabou (Papasessions #5) [feat. CALIFFA],Pk,259260,10/4/19,55,0.663,123.237
Poesia Ac̼stica 10: Recome̤ar,Pineapple StormTv,682816,11/27/20,68,0.739,142.055
MNB Quase Ac̼stico #4 - Coisa Louca,Ṃolee,276980,12/1/20,61,0.813,100.932
Poesia Ac̼stica - Paris,Pineapple StormTv,420000,3/19/20,64,0.692,87.98
Poesia Ac̼stica Ep. Acabou,Pineapple StormTv,270000,1/18/21,55,0.641,93.97
Mar�_lia Mendon̤a,BIN,113519,5/29/20,59,0.633,139.755
Poesia Ac̼stica Ep. Jeri,Pineapple StormTv,262978,1/25/21,52,0.805,110.008
Alma de Cigana,3030,131300,8/1/20,57,0.572,86.505
Mano Como Ela Fode,Gu,144000,3/11/21,44,0.731,170.117
War,Filipe Ret,152582,3/18/21,65,0.573,150.85
Saturno,BIN,186947,12/10/20,68,0.694,95.003
Berenice (Papasessions #6) [feat. CALIFFA],L7NNON,301546,3/27/20,58,0.705,160.144
Gerib�� (Papasessions #8) [feat. OIK],Papasessions,222576,3/5/21,58,0.814,129.769
Perfume,Konai,204088,2/13/20,57,0.558,85.445
Pipa Voada (feat. Emicida),Rashid,185333,1/22/20,62,0.758,90.038
Mnb Quase Ac̼stico #5 - Qual Vai?,Ṃolee,267000,4/30/21,42,0.575,81.305
Cigana,Malibu,265753,11/8/19,63,0.676,145.959
Melhor Assim,AURORA,302857,11/27/20,42,0.715,83.93
Sede de N�_s Dois,Card Principal,238451,3/12/21,42,0.662,155.888
Quantas Vezes?,2STRANGE,213333,7/10/20,40,0.833,134.982
Pede pra Ficar,Muzzike,175020,4/23/21,40,0.654,130.098
Mil Motivos,1Kilo,204939,10/23/20,43,0.491,175.575
Mina Certa,Altamira,146556,3/19/21,42,0.673,145.185
Amante - Ac̼stico,Maquiny,236045,12/17/20,53,0.492,116.028
Qu�_mica,MC Cabelinho,153413,3/24/20,55,0.684,91.283
Abre a porta,L7NNON,142500,2/6/20,54,0.635,95.995
Pra Praia,26:15:00,186297,4/19/21,52,0.597,85.435
Equa̤̣o,Mun-Ra,182205,8/7/20,48,0.611,117.825
Ac̼stico Altamira #8 - Leonina,Altamira,282666,8/10/20,44,0.572,89.253
Marginais Ac̼stico #1,Pk,226730,12/26/19,49,0.705,89.016
Ac̼stico Altamira #2 - Aquariana,Altamira,245398,1/29/20,44,0.538,90.966
Contratei o Tempo,Katari SC,216338,8/21/20,39,0.826,142.015
Voc̻ Ṇo Ama Ningu̩m 2,Pineapple StormTv,300000,1/27/20,56,0.652,135.994
O Final,Pel̩ MilFlows,192989,12/10/19,48,0.708,97.004
Poesia Ac̼stica #8: Amor e Samba,Pineapple StormTv,614615,12/15/19,62,0.667,156.016
Algumas frases,L7NNON,201724,4/24/20,54,0.621,116.079
Eu Ṇo Sou Ṭo Bom Assim,Pineapple StormTv,242526,7/26/19,65,0.806,94.991
Ṇo Volto,Felp 22,170666,10/4/19,49,0.543,88.496
"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)",MTK,210012,9/6/19,42,0.689,104.068
Foda Que Ela �� Linda - Ao Vivo,3030,183693,9/6/19,42,0.649,147.929
